!
!
R5	Diagnosed_with Arg1:T19 Arg2:T18
R4	Diagnosed_with Arg1:T19 Arg2:T17
R24	Diagnosed_with Arg1:T25 Arg2:T21
R9	Diagnosed_with Arg1:T25 Arg2:T23
!
R14	Diagnosed_with Arg1:T25 Arg2:T24
R12	Diagnosed_with Arg1:T27 Arg2:T21
R16	Diagnosed_with Arg1:T27 Arg2:T23
R17	Diagnosed_with Arg1:T27 Arg2:T22
R20	Diagnosed_with Arg1:T27 Arg2:T24
!
!
!
!
R8	Diagnosed_with Arg1:T36 Arg2:T40
R7	Diagnosed_with Arg1:T36 Arg2:T34
R13	Diagnosed_with Arg1:T3 Arg2:T42
R18	Diagnosed_with Arg1:T3 Arg2:T45
!
!
R22	Diagnosed_with Arg1:T15 Arg2:T26
!
R21	Diagnosed_with Arg1:T33 Arg2:T31
!
R10	Diagnosed_with Arg1:T39 Arg2:T41
!
R15	Diagnosed_with Arg1:T39 Arg2:T35
R23	Diagnosed_with Arg1:T4 Arg2:T6
R11	Diagnosed_with Arg1:T4 Arg2:T10
