index	sentence	label
0	To investigate the relationship between baseline center point retinal thickness measured by optical coherence tomography (@Diagnostic_tool$) and best-corrected visual acuity in eyes with macular edema associated with @Disease$ and to investigate other factors associated with baseline visual acuity letter score.	0
1	To investigate the relationship between baseline center point retinal thickness measured by @Diagnostic_tool$ (OCT) and best-corrected visual acuity in eyes with macular edema associated with @Disease$ and to investigate other factors associated with baseline visual acuity letter score.	0
2	After omitting 17 participants with missing or unreliable @Diagnostic_tool$ measurements, analyses proceeded with 665 enrolled SCORE Study participants (665 eyes), including 262 with @Disease$ and 403 with BRVO.	0
3	After omitting 17 participants with missing or unreliable @Diagnostic_tool$ measurements, analyses proceeded with 665 enrolled SCORE Study participants (665 eyes), including 262 with CRVO and 403 with @Disease$.	0
4	At baseline, center point thickness was measured by @Diagnostic_tool$ (Stratus OCT 3 [n=663] and OCT2 [n=2] ; Carl Zeiss Meditech, Dublin, CA), and visual acuity was measured by the electronic Early Treatment @Disease$ Study (E-ETDRS) methodology.	0
5	At baseline, center point thickness was measured by OCT (@Diagnostic_tool$ [n=663] and OCT2 [n=2] ; Carl Zeiss Meditech, Dublin, CA), and visual acuity was measured by the electronic Early Treatment @Disease$ Study (E-ETDRS) methodology.	0
6	At baseline, center point thickness was measured by OCT (Stratus OCT 3 [n=663] and @Diagnostic_tool$ [n=2] ; Carl Zeiss Meditech, Dublin, CA), and visual acuity was measured by the electronic Early Treatment @Disease$ Study (E-ETDRS) methodology.	0
7	The correlation coefficient for the association between baseline @Diagnostic_tool$-measured center point thickness and best-corrected E-ETDRS visual acuity letter score is -0.27 (95% confidence limit: -0.38 to -0.16) for participants in the CRVO trial and -0.28 (95% confidence limit: -0.37 to -0.19) in the @Disease$ trial.	0
8	The correlation coefficient for the association between baseline @Diagnostic_tool$-measured center point thickness and best-corrected E-ETDRS visual acuity letter score is -0.27 (95% confidence limit: -0.38 to -0.16) for participants in the @Disease$ trial and -0.28 (95% confidence limit: -0.37 to -0.19) in the BRVO trial.	0
9	@Diagnostic_tool$ of @Disease$ and Its Association with Anti-VEGF Treatment Response.	0
10	To investigate the structural integrity of the superficial capillary plexuses (SCPs) and deep capillary plexuses (DCPs) using optical coherence tomography (OCT) angiography (@Diagnostic_tool$) in patients with diabetic macular edema (@Disease$) and its association with the response to anti-vascular endothelial growth factor (VEGF) treatment.	1
11	To investigate the structural integrity of the superficial capillary plexuses (SCPs) and deep capillary plexuses (DCPs) using @Diagnostic_tool$ (OCTA) in patients with diabetic macular edema (@Disease$) and its association with the response to anti-vascular endothelial growth factor (VEGF) treatment.	1
12	To investigate the structural integrity of the superficial capillary plexuses (SCPs) and deep capillary plexuses (DCPs) using optical coherence tomography (OCT) angiography (@Diagnostic_tool$) in patients with @Disease$ (DME) and its association with the response to anti-vascular endothelial growth factor (VEGF) treatment.	1
13	To investigate the structural integrity of the superficial capillary plexuses (SCPs) and deep capillary plexuses (DCPs) using @Diagnostic_tool$ (OCTA) in patients with @Disease$ (DME) and its association with the response to anti-vascular endothelial growth factor (VEGF) treatment.	1
14	The degree of OPL disruption in @Diagnostic_tool$ corresponds well with the extent of DCP loss in @Disease$ eyes.	0
15	Using a @Diagnostic_tool$ to Assist Grading for @Disease$.	1
16	One thousand seven hundred ninety-six retinal @Diagnostic_tool$ from 1612 @Disease$ patients.	0
17	Ten ophthalmologists (5 general ophthalmologists, 4 retina specialists, 1 retina fellow) read images for @Disease$ severity based on the @Diagnostic_tool$ in each of 3 conditions: unassisted, grades only, or grades plus heatmap.	1
18	@Diagnostic_tool$ can improve the accuracy of, and confidence in, @Disease$ diagnosis in an assisted read setting.	1
19	Evaluation of coexisting optic nerve head drusen and @Disease$ with @Diagnostic_tool$.	1
20	The authors report two cases of coincident optic nerve head drusen and @Disease$, in which the use of @Diagnostic_tool$ (OCT) in evaluating the nerve fiber layer was beneficial.	1
21	The authors report two cases of coincident optic nerve head drusen and @Disease$, in which the use of optical coherence tomography (@Diagnostic_tool$) in evaluating the nerve fiber layer was beneficial.	0
22	Visual field progression in @Disease$: what is the specificity of the @Diagnostic_tool$?	0
23	To estimate the specificity of the @Diagnostic_tool$ (GPA) (Carl Zeiss Meditec, Dublin, CA) in individual patients with @Disease$.	0
24	To estimate the specificity of the Guided Progression Analysis (@Diagnostic_tool$) (Carl Zeiss Meditec, Dublin, CA) in individual patients with @Disease$.	0
25	In 30 patients with @Disease$, 1 eye (median mean deviation [MD], -2.5 decibels [dB] ; interquartile range, -4.4 to -1.3 dB) was tested 12 times over 3 months (@Diagnostic_tool$, Carl Zeiss Meditec; SITA Standard, 24-2).	0
26	@Diagnostic_tool$ are essential in detecting the progression of @Disease$ and development of disease characteristics which indicate a need for treatment.	1
27	Soft drusen and subretinal drusenoid deposits detected by @Diagnostic_tool$ were found to be independently correlated with @Disease$ (soft drusen odds ratio = 16.66 [P<0.001]; subretinal drusenoid deposits as detected by OCT odds ratio = 2.64 [P = 0.034]).	0
